iter	Passed	Remaining
0	1	78
1	2	70
2	4	68
3	5	62
4	6	60
5	7	58
6	9	56
7	10	55
8	11	53
9	12	50
10	13	49
11	15	48
12	16	47
13	17	45
14	19	44
15	20	44
16	22	43
17	23	41
18	24	40
19	25	38
20	26	36
21	27	35
22	29	34
23	30	33
24	31	31
25	33	30
26	34	29
27	35	28
28	36	26
29	38	25
30	39	24
31	40	22
32	41	21
33	42	20
34	43	18
35	45	17
36	46	16
37	48	15
38	49	14
39	50	12
40	52	11
41	53	10
42	54	8
43	55	7
44	56	6
45	58	5
46	59	3
47	60	2
48	61	1
49	63	0
